chnm,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,classificn
bisacodyl,-1.1769421710054093,-0.7623812776528678,-0.03796842039247355,-0.7106575661705985,-0.3152799437759597,0.05788458830644877,0.23707114267764107,-0.39114175586446287,-0.07507324891364266,-0.2508841242297913,0.019018548312869914,-0.47667432057666914,-0.4981447107789987,-0.45354569594929417,-0.06878952853008942,0.7764569449164949,-0.03115127254040698,-0.29415455261126133,-0.4986726470110874,-0.7153586267355392,-0.35540620012193297,-0.21175480115961026,-0.9733357680616621,-0.5048280730389613,0.06192909220669843,-0.7051114452809754,0.26465948378173837,-0.34836206092070143,0.2506377522362567,-0.29638570923449614,0
bortezomib,-0.0860742750636458,0.21350039414106778,-0.6648740946782947,-0.8773503970152812,-0.7189350144932879,0.5077663695638589,-0.17600330628087993,0.26504835362181073,-0.1652291167729549,-0.1006583934369488,4.034213620301502,0.9569638116516814,-0.8154846109912786,0.35984618654296674,-0.4894748545830367,0.20134259637042817,-2.407992404038002,-0.4454040612621769,-1.7267896858813294,-1.8107278361585506,1.3944541122249472,0.16381811796041262,-0.36483305812966976,-1.561967876073276,-1.1743076833678934,0.906983249486103,-0.9913283712951425,-0.36248659070448014,-1.0053061918841906,0.695286202241134,1
budesonide,-1.5236609817765054,-0.842065791178695,0.004081381818040376,-0.4290424010211739,-0.10953265704183177,0.10829987512293172,0.1456054209401756,-0.4428340398202173,-0.39796548203308385,-0.47381397416950466,-0.0848816280579482,-0.4285455046801188,-0.48905152088097337,-0.34782193062188027,-0.058015655574261096,0.7019031008696899,-0.24761914022482195,-0.7016391824494234,0.058190779857091285,-0.767878360719818,0.338492679460307,-0.11547060444009183,-0.5617697893539689,0.08077173565862449,-0.5104354317664818,-0.19755826187835623,-0.1610084747132096,-0.09183938029772055,0.5460313101713309,-0.5042939355670916,0
busulfan,-1.5037911342354666,-0.8907590810311095,0.1313706292999148,-0.3904016791527149,-0.25106446473675137,0.23761350214581847,-0.053244032282708346,-0.35815294560826716,-0.0513378165776035,-0.1027802401372281,-0.40915617778514873,-0.3406650013835598,-0.2706517870678954,-0.2504581437158806,0.14154259790961063,-0.20341098762634488,0.23007992344113243,-0.108840112992611,0.29038381705295846,0.48034499461222485,-0.09495622171195255,-0.08940549528044138,0.2510393349781531,0.19775762245494832,0.3143364189754322,0.24916740106891658,0.7163726342776114,0.012419179239249926,-0.09377959591896305,-0.026426700102239624,1
caffeine,-0.6940264479173524,4.2245222969888,2.9405391608318916,-2.6033698956967752,9.00555024117809,-5.196358075096756,2.538799417753425,-2.5429017685097963,29.81229237793809,-2.8749498382974563,0.7437103214749573,-0.475632283533353,2.4981082308389952,1.5260379692908854,-2.0442532332616405,-1.3171904175652727,-4.295867965561144,-1.6972170667000073,1.5235450681396652,1.9516338833498117,1.796615463532327,0.9926297684508761,-0.2696543967416991,0.088266628260159,-0.420011459768749,0.38986255245243046,-0.13772868164365393,-0.7891049846838382,0.8844503174691879,0.009110749115193183,0
capecitabine,-1.5808303523168787,-1.0009489121716846,0.15333897581107378,-0.12273275686590572,-0.1888784838944487,0.05933527487006069,0.17583750563727207,0.06123703165072969,-0.09745718565150112,0.026955284537218075,-0.5478438000927943,-0.47249987500348345,-0.4131791774568482,-0.8867181922719994,-0.3522305157290057,-0.6849973738346457,1.0514948022423984,-0.6804666601973364,0.633670104428667,0.4824402305095358,-0.6938041242004805,0.3880746323592538,0.09823226685342104,0.7764014347282058,0.2262409664902814,-0.31735849075241696,-0.21937646727884166,0.010288536663847358,-0.6569807167698752,1.8880008928870047,0
captopril,-1.5316542969935363,-0.903049485247055,0.19083049202034547,-0.3817847119726943,-0.39888438782934654,0.21551818440578577,0.09774325030976196,-0.28274099570149647,-0.09384659827052942,-0.1637564580136121,-0.4301907137645054,-0.3248760492852526,-0.395285684790657,-0.37928437267917914,-0.3213403049710749,-0.06435353395273781,0.46402513581510774,-0.6030213909008696,0.47627065230253757,0.13125425886015193,-0.1317352198192515,-0.021050992114038762,-0.33994741178001553,-0.01662696086378933,0.31124524797467495,0.04297322625230944,-0.15950452718352706,0.3767614946838634,0.12952636839272733,0.37775662856407993,0
carbamazepine,-0.6082576860205482,-0.48781557333485415,1.1118640565769258,0.40712172309562883,0.3353742410120456,-1.5340644005081105,-1.4090099001547287,2.2861318367925425,3.736018225797919,-0.8200681329446892,-0.4266568856340244,-0.48811056332794706,0.5640478976467522,0.17486319469866965,-1.0077373948214152,-0.10589549895439501,0.828299729715349,0.6868050883326905,-0.7116461319329176,-1.3612322279274758,-2.2052745210529157,-0.24166551646392678,0.9673943993703366,1.2893534567586666,1.1781452431691153,-0.1047282907400739,1.032243087603029,-2.5693013462501146,-3.0229251608412433,0.528760115617378,1
carbidopa,-1.5470135983331024,-0.9133752639041146,0.18655294329904576,-0.3063854899227919,-0.2558652829650581,0.20796782972781142,0.01980786204672732,-0.34934330042344236,-0.07210811508435314,-0.17794958761586666,-0.4951106243081068,-0.28377515150354166,-0.375688730623715,-0.22877727460151454,-0.007708410258740739,-0.16849163110927948,0.6000383687094506,-0.4576427490443916,0.4746958359799994,0.31795603578064774,-0.12762771452558103,-0.23038428040537448,0.09882614901883602,0.41375810633325744,0.23052825913514374,0.4701249115863964,0.2857217334535411,0.3063482917190897,0.04422610519757094,0.10592248339562907,0
carboplatin,-1.5295117357288979,-0.8065029661122951,0.10907003423537745,-0.3734743008114363,-0.3175378041219939,0.1825182181090671,-0.07223085562089898,-0.14570660890430157,-0.0062246169531462005,-0.09720429165910714,-0.2570629697700193,-0.42603505520147084,-0.40157272733432314,-0.26156648359542845,0.12496680216465014,-0.4321626884793012,0.21425375691160856,0.026765026211612416,0.5509421901722575,0.44961250166694305,-0.011958097947501047,0.14958926878308781,-0.054569449125000204,-0.2675853745219315,-0.018465093822179042,-0.3436487575291839,0.2414014167648356,-0.14293104877430296,-0.3814944076553183,0.2666329493590203,0
carisoprodol,-1.5005362785511154,-0.911215619098515,0.1268536299240247,-0.38598152430264365,-0.3549630490523143,0.17876649045623974,0.008542776414018627,-0.13397728208709173,-0.05607917641745839,0.053115128343261354,-0.3752948463646611,-0.4299488892768437,-0.25343960717093733,-0.5463080931883422,-0.1755949074788452,-0.29010455753901637,0.26403095555039113,-0.25441436392487254,0.30227381491249455,0.44091783931478756,-0.29120304585545415,0.24301735715747208,-0.004074192043778387,-0.013543122956835636,0.3546365905078514,-0.25473025894714996,0.21814386787768061,-0.05057026555779622,-0.23549218256016127,0.6446461596109615,0
cefazolin,-1.5902193305548467,-0.8659247021424397,0.13705679067325754,-0.18183462553821078,-0.2378891343980387,0.08429318532439767,0.04530140542487389,0.02956591312889407,-0.06113095741731445,-0.09391300170884577,-0.38643709060982395,-0.4333444685378911,-0.489674228816748,-0.4853632530328161,-0.06532103516887827,-0.6176692842368071,0.7652679362850472,-0.3485522916717858,0.779211481509931,0.3838110561831225,-0.2789252988099506,0.25140884356659376,-0.0074163147894717365,0.25734691439435103,-0.20401228604796348,-0.3549106164149391,-0.23998908512691214,-0.0832928512847448,-0.5908441402221661,1.0312425364305848,0
celecoxib,1.6151460236354902,1.6120841988716152,-0.4018065397537708,0.18425124964888423,1.1705284738387194,0.2772322423460959,-2.018071945980099,2.6581514562538477,-1.1329349397945008,0.12462154612344764,1.6961252201538775,-0.8828518570600689,2.9199927126701013,-3.3168347645461433,0.8725500910790531,-6.00537534154736,-4.092078131372651,13.113426483558344,10.949628165693687,-5.896660529297228,1.1878704774828244,-0.6471143945298223,-4.61716803673726,-1.860303537112578,1.3292032878103754,1.1831525516101713,0.8172404509533808,-0.13853750936336695,0.530336474359207,-1.2459912057135643,0
cephalexin,-1.5382386329615636,-0.827884622210677,0.10791161974058117,-0.3316587198895745,-0.2614500907638362,0.17202733874500004,-0.011595438962143451,-0.08745792695164922,-0.010823551724026697,-0.11938239913522555,-0.3004805970805502,-0.4454749685966879,-0.375089347226016,-0.37726353284268593,0.1237903919354638,-0.5809927118297484,0.3774816424379556,0.03533145387174343,0.6376846644332672,0.5273672772507864,-0.16417674281378702,0.2392795193039658,0.07699986037582039,-0.007695203226229367,-0.019316207654842474,-0.43064117782717204,0.2657367351837139,-0.23897611914146624,-0.596966487964575,0.6777279074129868,0
chlorambucil,1.5333241411662133,-0.47427572681737096,-0.11813921314833627,1.0694271906693316,-0.09047490429245506,1.4021237448216373,-0.07316143854009495,-1.1221445360195013,-0.2606159868581245,0.09036097029563281,-2.849190414068835,2.0497334915796874,2.0406922512805994,-2.8475917582198806,0.38414618229859643,-0.7916590729139587,-1.723204806100393,0.6887286549594035,-0.044186981424671486,0.8215629341832202,-1.9647288621895567,0.9757678134806671,-0.19423683293296543,1.9130161519655506,4.94844404839871,-2.461629431882223,-0.13109983785335155,0.4618322112014637,-1.2143089164678569,0.7922698258427068,0
chloramphenicol,-1.4406015274281379,-0.9126587670671694,-0.0053378424056777125,-0.09959263103429429,-0.13714733190126896,0.04879419195294519,-0.03982851195651433,-0.1671719486186571,-0.19119984241629742,-0.06727551003753497,-0.5692512918398072,-0.4068172359553346,0.018397400646058916,-0.5380572400392614,-0.10421469349896204,-0.6896935164110318,0.8845065800287208,0.2834419497164179,0.6599632935847032,0.32435902989925486,-0.4784847794930986,0.5300317480716704,0.7489454685872743,0.5071598373610365,0.24525244328580253,-0.011040175493149704,0.415343856629351,-0.05690077634931619,-0.7326714744230894,1.0205078140334063,0
chlorpropamide,-1.445073319272812,-0.8787364291682219,0.049001070007134044,-0.14896470444842172,-0.3081916268823604,0.05372745385960197,-0.05554240357017071,-0.16424058557469023,-0.24843115534636664,-0.07165801808826733,-0.5767185970588047,-0.2859575743485534,0.082170986512188,-0.3217006252563253,-0.2904051024197057,-0.257874111973556,0.7960965841200783,0.04581383015161705,0.6434719924475631,-0.04346473091419648,-0.2816606738988625,0.35048097749945245,0.5346032726120741,0.24288262384558776,0.019712742382449078,0.2680910429158541,-0.11458331520468464,0.17709623816375195,-0.22654558484672102,0.28217423432848004,0
cimetidine,-1.5052010388339616,-0.9049998764149891,0.13697965319402444,-0.40488669434971186,-0.3346501665482805,0.21828639958478224,0.03200861005180494,-0.27561111150313855,-0.043685751823864256,-0.07283096354453213,-0.37021639124137323,-0.41301093876702755,-0.36705150906411327,-0.46843581368917886,-0.1502294186737393,-0.2684520085416687,0.2843299971746088,-0.3052523438140283,0.35142855565665554,0.4008183610848634,-0.18796224057708572,0.11680818469970715,-0.16710242820881901,-0.06675874308936637,0.4603667532077853,-0.16947989483952786,0.2961474876037064,0.12903313784173423,-0.13601454119614573,0.5586627399447514,0
cinchophen,-1.4797795002526,-0.9068344464849517,0.0700244762143596,-0.37097209473458603,-0.3824610648961201,0.24374094054130094,0.22675097552360127,0.029054821159815395,-0.3158202842112543,-0.1864801354939203,-0.29975731046651455,-0.17262153346484205,0.21325075717308842,-0.5986388338569664,-0.14352990830872053,-0.08904371117094982,0.4718271447017621,-0.35453400786803196,0.2628103447518433,0.3272920152689862,-0.3269395334837885,0.33388476514990584,0.19865218306127813,-0.052303956121906275,-0.36103407284588446,-0.34486863726105527,-0.08677884746591441,-0.028642782083619853,-0.08444466916420128,0.03814092383467678,1
cladribine,1.0919832467859705,-0.2962741865484086,-0.3989007915455956,-0.9637072288162317,0.05413817335154955,-0.4209656940802402,-0.09495293351653279,-0.6787795186409408,-0.20610228527689517,-0.07767967690690027,-0.7847665845850157,1.7231235977923465,-6.702347886832915,3.0122978457194947,-2.273073496468687,-2.191988898705555,-1.5882452856539748,2.9080124965709335,-3.5731923777025076,1.6733876341212872,2.940752080666397,-2.7469412649115355,1.9675894809342074,-0.06371215111419562,7.576646861476665,-4.306887165883812,0.6299026941968201,3.8235055812481216,8.800671681678123,0.9756147769684086,0
clofibrate,4.789039734508722,-4.498704414610888,2.2336468557897025,8.938624792488294,-0.36654840662228433,-14.169783379666502,-14.53593820771566,25.781715426506032,0.816546150578309,-4.754829733312677,-3.198473166175881,-1.5621137657169126,-1.1768068240658809,-0.4807496897962412,-1.8928886999656174,1.5523113510220456,-0.3886053169895035,-1.4899502668567035,-0.5794112797805916,0.3167115118764824,0.34825256673977156,0.2237983042205939,0.08936604220118796,0.07062217750229391,-0.06337647465625158,0.5583865667054124,-0.38682432592179294,0.49039550876084387,0.7642459990257134,-0.11188951102122609,0
clotrimazole,0.5232876579711782,3.4891556588949135,-2.9834452967709115,-6.379001456671109,-0.8429557567677566,-9.011874660801823,1.749011980253679,-2.1869229711380953,-5.463476710105784,-0.5380834767410926,-6.182903786015786,-3.0493496162441964,13.943303642999382,15.015441038980281,-5.10033709978577,-3.1115574621184883,1.3559506029090478,-2.063298049293655,-0.12095259296034855,-4.642509427348106,1.4822301527095028,5.425044270700836,-0.07203456373105238,-0.20836529902222065,1.8793987687690872,-1.4038816259266618,-1.2612709289725348,0.4813893064922869,0.41267145050339793,1.2038943905574084,0
codeine,-1.4726489933492557,-0.7936507844324668,0.05579635748304837,-0.27790672794011656,-0.25547270738296324,0.08183595086597713,-0.1289899704528922,0.04165713054691787,0.12462160888109948,0.16794732582211144,-0.029961595640568505,-0.47925113235739725,-0.4089068768715417,-0.11949572005753165,0.27276923921965357,-0.259682468135767,-0.019046945373496084,-0.026840308214356304,0.201509238514679,0.374836190628355,-0.008645388874930474,-0.05036405706751009,0.04646252288656804,-0.08828803553683413,-0.07993495374255122,-0.18617263757895297,0.178637519636235,-0.24710487650117624,-0.13915238015741152,0.1689670753311581,0
colchicine,5.453986938576931,3.4299167282913006,-2.6692687374060693,2.2770400219123315,-0.18844480330828978,4.004848514453709,-1.9394888955899319,-1.0008170870735655,0.6742822391410581,0.9905531814019932,-6.762191078928884,10.440047210869043,-12.861425318021318,8.856541943889766,-12.573365817987785,-2.706331517775192,0.6343537407867939,5.016016784426263,0.15376495642345084,0.5220089183484633,-2.844018849192781,0.9592265623140305,-0.5288467301282656,2.0147701885849596,-3.7580227475319665,0.36347846991568505,-0.9904351294968242,-1.1695319895185452,-1.7521313420378528,-2.5568618704017285,0
cyproheptadine,-1.0857621238761606,-0.5784610487628141,-0.04741134319786996,-0.7777270546873746,-0.299094467094475,0.034989991155044364,0.10168847003264503,-0.2746154931248634,-0.2435531798650917,-0.18431746643972532,0.6403848064155548,-0.41326232726701084,-0.7811522187141038,-0.45311441746008013,-0.272226677813665,1.065344228894668,-0.3697840705981251,-0.8315619170079814,-1.0284693801341647,-1.5941488898656002,0.08904493707981521,-0.35816639285574053,-1.129312736912732,-0.5096639163741915,-0.26039014503536717,-0.2612188554281878,-0.8033667932208501,-0.3882184791468602,0.46262673881696337,-0.07010131190474499,0
danazol,-0.6227808562485626,0.9741306522088302,-0.4484859706653521,-0.7866273920032791,-0.44870708676775245,-1.3435988707832838,0.447575468487565,-1.032900158475535,-0.89297871298377,-0.29738992976806705,-1.3234173465498777,-0.25305043497568486,0.3012559108616489,0.6425345212692017,-0.666026423000995,-1.5154629833292783,0.20877673778122102,-0.9165036196056203,-2.0556987979023353,-0.62915121572474,0.8210270162626878,1.2776767673695013,-1.6638952875281237,2.6101085461244184,-2.3660537979796907,5.53866296636286,13.353654816487104,0.2914766845347163,4.0144017984133935,0.1596731864467582,1
